location,city,price,area_sqft,bhk,price_per_sqft,wealth_buying,wealth_renting,decision
Agarwal Florence,mumbai,31900000.0,1015.0,5,31428.571428571428,14559720.04,46352036.9,RENTING is financially better
Rustomjee Prive,mumbai,65800000.0,1315.0,5,50038.02281368821,30032275.19,89583737.86,RENTING is financially better
Lodha Adrina,mumbai,83500000.0,1266.0,5,65955.76619273302,38110865.93,113787943.3,RENTING is financially better
Paranjape Aspire,mumbai,22500000.0,727.0,1,30949.10591471802,10269395.01,35989855.74,RENTING is financially better
Empire Maitri Flora The Legend,mumbai,26500000.0,947.0,1,27983.1045406547,12095065.24,39625973.33,RENTING is financially better
Hubtown Seasons,mumbai,30400000.0,733.0,1,41473.39699863574,13875093.7,46571690.69,RENTING is financially better
Kalpataru Elitus,mumbai,33200000.0,1065.0,2,31173.708920187797,15153062.86,47704395.44,RENTING is financially better
Godrej Trilogy Seafront,mumbai,176500000.0,1765.0,2,100000.0,80557698.64,234959463.7,RENTING is financially better
Mangal Signature,mumbai,57699999.99999999,1290.0,3,44728.68217054263,26335292.98,78883583.67,RENTING is financially better
Paranjape Athena,mumbai,37100000.0,853.0,1,43493.55216881594,16933091.33,54634241.14,RENTING is financially better
Shreeji Eternity,mumbai,28100000.0,1217.0,3,23089.564502875925,12825333.33,39636099.49,RENTING is financially better
Lodha Divino,mumbai,59900000.0,1290.0,4,46472.0,27339411.61,81843683.65,RENTING is financially better
Bellanza Phase 1 Wing A B C at The Prestige City,mumbai,34700000.0,1053.0,5,32953.46628679962,15837689.2,49817875.37,RENTING is financially better
Raheja Modern Vivarea,mumbai,122900000.0,1668.0,5,73681.0551558753,56093717.64,163610439.65,RENTING is financially better
DLH Signature,mumbai,140800000.0,2000.0,2,70400.0,64263591.89,185060194.25,RENTING is financially better
Sahakar Excel Acropolis,mumbai,22000000.0,621.0,1,35426.731078904995,10041186.23,36158303.62,RENTING is financially better
Adani Linkbay Residences,mumbai,32100000.0,824.0,1,38956.31067961165,14651003.55,48136880.24,RENTING is financially better
Platinum Crest,mumbai,22400000.000000004,610.0,1,36721.31147540984,10223753.26,36783797.74,RENTING is financially better
Shreeji Sky Rise Tower,mumbai,32300000.0,811.0,1,39827.37361282368,14742287.06,48509146.01,RENTING is financially better
Dosti Mezzo 22,mumbai,30400000.0,662.0,1,45921.450151057405,13875093.7,47135134.55,RENTING is financially better
The Erica,mumbai,40000000.0,1081.0,4,37002.77520814061,18256702.24,56726822.11,RENTING is financially better
Neo Smile Belmonte Corner,mumbai,37700000.0,1080.0,3,34907.40740740741,17206941.86,53640107.96,RENTING is financially better
DLF The Westpark,mumbai,46900000.00000001,1150.0,4,30202.0,21405983.38,65463199.84,RENTING is financially better
Hill View Crest Oaks,mumbai,19600000.0,716.0,1,27374.30167597765,8945784.1,32175199.89,RENTING is financially better
Mhatre and Goradia White Orchid Residency,mumbai,32100000.0,1136.0,2,28257.04225352113,14651003.55,45660901.59,RENTING is financially better
Radius 10 BKC,mumbai,101700000.0,1432.0,4,71019.5530726257,46417665.45,136958695.51,RENTING is financially better
Ten X Invictus by GS,mumbai,71800000.0,1306.0,3,54977.0290964778,32770780.52,97728160.26,RENTING is financially better
L & T The Gateway,mumbai,57500000.0,1258.0,3,39655.0,26244009.47,78868430.2,RENTING is financially better
Piramal Revanta,mumbai,23900000.0,854.0,1,27985.94847775176,10908379.59,36865705.45,RENTING is financially better
Kalpataru Elitus,mumbai,33200000.0,1065.0,2,31173.708920187797,15153062.86,47704395.44,RENTING is financially better
Paintora Shree Varadvinayak Tower,mumbai,22700000.0,622.0,1,36495.1768488746,10360678.52,37092217.79,RENTING is financially better
Sunteck Sky Park,mumbai,18600000.0,1051.0,5,17697.43101807802,8489366.54,28171197.19,RENTING is financially better
Apex Green Wood,mumbai,15300000.0,648.0,1,23611.11111111111,6983188.61,26929186.31,RENTING is financially better
Gurukrupa Alaknanda,mumbai,80200000.0,1471.0,4,54520.73419442556,36604688.0,107720948.4,RENTING is financially better
Raheja Modern Vivarea,mumbai,122900000.0,1668.0,3,73681.0551558753,56093717.64,163610439.65,RENTING is financially better
Rustomjee Crown Phase II,mumbai,91900000.0,1409.0,4,59334.0,41944773.4,123955319.67,RENTING is financially better
Starom Ekya,mumbai,44600000.0,1398.0,3,31902.71816881259,20356223.0,60400464.27,RENTING is financially better
Chandak Greenairy,mumbai,40400000.0,1152.0,2,35069.444444444445,18439269.26,56701578.24,RENTING is financially better
Sonam Indraneel,mumbai,14400000.0,823.0,1,17496.96233292831,6572412.81,24329466.24,RENTING is financially better
Hill View Crest Oaks,mumbai,20700000.0,761.0,1,27201.051248357424,9447843.41,33298137.58,RENTING is financially better
Prestige Forest Hills,mumbai,26900000.0,946.0,1,28435.51797040169,12277632.26,40172109.15,RENTING is financially better
Hiranandani Maitri Park,mumbai,37500000.0,1800.0,4,20833.0,17115658.35,47657211.09,RENTING is financially better
Supreme Boulevard,mumbai,40900000.0,1170.0,3,34957.26495726496,18667478.04,57231483.32,RENTING is financially better
DLF The Westpark,mumbai,59100000.0,1450.0,3,30204.0,26974277.56,79497551.02,RENTING is financially better
Ten X Invictus by GS,mumbai,71800000.0,1306.0,5,54977.0290964778,32770780.52,97728160.26,RENTING is financially better
Seven Eleven Ayodhya,mumbai,11700000.0,836.0,1,13995.215311004784,5340085.41,20593450.49,RENTING is financially better
Prestige Nautilus,mumbai,249800000.0,2609.0,4,95745.49635875814,114013105.5,326886773.29,RENTING is financially better
Dhananjay Hill View,mumbai,5460000.0,650.0,1,8400.0,2492039.86,13673594.75,RENTING is financially better
Sunbeam Heights,mumbai,19300000.0,653.0,1,29555.89586523737,8808858.83,32271507.12,RENTING is financially better
N Rose Northern Hills,mumbai,19700000.0,701.0,1,28102.71041369472,8991425.85,32428787.33,RENTING is financially better
Sunteck Sky Park,mumbai,13100000.0,740.0,1,17702.702702702703,5979069.98,23238990.06,RENTING is financially better
Piramal Revanta,mumbai,40400000.0,1411.0,3,28632.17576187101,18439269.26,54646198.54,RENTING is financially better
Godrej Trilogy Seafront,mumbai,176500000.0,1765.0,2,100000.0,80557698.64,234959463.7,RENTING is financially better
Agarwal Floresta Maple,mumbai,18200000.0,736.0,1,24728.260869565216,8306799.52,30132783.33,RENTING is financially better
Adani Linkbay Residences,mumbai,59400000.00000001,1522.0,3,39027.59526938239,27111202.83,79329821.33,RENTING is financially better
Seven Eleven Ayodhya,mumbai,11700000.0,836.0,1,13995.215311004784,5340085.41,20593450.49,RENTING is financially better
Dosti West County,thane,13899999.999999998,757.0,1,18361.95508586525,6344204.03,24180480.96,RENTING is financially better
Kalpataru Eternia,thane,13200000.0,615.0,1,21463.414634146346,6024711.74,24365518.68,RENTING is financially better
Kalpataru Parkcity,thane,23200000.0,1079.0,2,21501.39017608897,10588887.3,34138293.93,RENTING is financially better
Lodha Codename Premier,thane,9000000.0,759.0,1,11857.707509881422,4107758.0,17571659.35,RENTING is financially better
Rustomjee LA VIE,thane,18200000.0,833.0,1,21174.0,8306799.52,29363007.92,RENTING is financially better
Damji Shamji Mahavir Spring,thane,26000000.0,1011.0,4,25717.111770524232,11866856.46,38445330.28,RENTING is financially better
Runwal One,thane,19200000.0,962.0,1,19958.41995841996,8763217.08,29684785.97,RENTING is financially better
Kalpataru Parkcity,thane,22900000.0,957.0,1,17102.0,10451962.03,34702815.07,RENTING is financially better
Godrej Vihaa,thane,5300000.0,592.0,1,8952.702702702703,2419013.05,13918592.83,RENTING is financially better
Runwal One,thane,19200000.0,962.0,1,19958.41995841996,8763217.08,29684785.97,RENTING is financially better
Narang Privado,thane,17500000.0,903.0,1,19379.84496124031,7987307.23,27865649.89,RENTING is financially better
Adani Codename LIT,thane,24600000.0,978.0,1,25153.374233128838,11227871.88,36823512.65,RENTING is financially better
Ashar Merac,thane,17700000.0,927.0,1,19093.851132686083,8078590.74,27944290.0,RENTING is financially better
Puraniks Mirai,thane,8340000.000000001,580.0,1,14379.310344827589,3806522.42,18104142.75,RENTING is financially better
Godrej Ascend,thane,19900000.0,707.0,1,23467.0,9082709.37,32650272.35,RENTING is financially better
Rustomjee LA VIE,thane,18200000.0,833.0,1,21174.0,8306799.52,29363007.92,RENTING is financially better
Yashwant Niwas,thane,29500000.0,1073.0,2,16857.0,13464317.9,42662558.84,RENTING is financially better
New Adani Launch,thane,24100000.0,1150.0,4,14636.0,10999663.1,34785800.07,RENTING is financially better
Hiranandani Estate Casablanca,thane,35000000.0,1385.0,2,23810.0,15974614.46,47586830.15,RENTING is financially better
Kalpa Taru Siddhachal 3,thane,16500000.0,780.0,1,13750.0,7530889.67,27496256.87,RENTING is financially better
Hiranandani Rodas Enclave,thane,42000000.0,1292.0,4,28000.0,19169537.35,57743362.17,RENTING is financially better
