location,city,price_total_inr,price_per_sqft,area_sqft,BHK
Agarwal Florence,mumbai,31900000.0,31428.571428571428,1015.0,5
Rustomjee Prive,mumbai,65800000.0,50038.022813688214,1315.0,5
Lodha Adrina,mumbai,83500000.0,65955.76619273302,1266.0,5
Paranjape Aspire,mumbai,22500000.0,30949.10591471802,727.0,1
Empire Maitri Flora The Legend,mumbai,26500000.0,27983.1045406547,947.0,1
Hubtown Seasons,mumbai,30400000.0,41473.39699863574,733.0,1
Kalpataru Elitus,mumbai,33200000.0,31173.708920187793,1065.0,2
Godrej Trilogy Seafront,mumbai,176500000.0,100000.0,1765.0,2
Mangal Signature,mumbai,57699999.99999999,44728.68217054263,1290.0,3
Paranjape Athena,mumbai,37100000.0,43493.55216881594,853.0,1
Shreeji Eternity,mumbai,28100000.0,23089.564502875925,1217.0,3
Lodha Divino,mumbai,59900000.0,46472.0,1290.0,4
Bellanza Phase 1 Wing A B C at The Prestige City,mumbai,34700000.0,32953.46628679962,1053.0,5
Raheja Modern Vivarea,mumbai,122900000.0,73681.0551558753,1668.0,5
DLH Signature,mumbai,140800000.0,70400.0,2000.0,2
Sahakar Excel Acropolis,mumbai,22000000.0,35426.731078904995,621.0,1
Adani Linkbay Residences,mumbai,32100000.0,38956.31067961165,824.0,1
Platinum Crest,mumbai,22400000.000000004,36721.31147540984,610.0,1
Shreeji Sky Rise Tower,mumbai,32300000.0,39827.37361282368,811.0,1
Dosti Mezzo 22,mumbai,30400000.0,45921.450151057405,662.0,1
The Erica,mumbai,40000000.0,37002.77520814061,1081.0,4
Neo Smile Belmonte Corner,mumbai,37700000.0,34907.40740740741,1080.0,3
DLF The Westpark,mumbai,46900000.00000001,30202.0,1150.0,4
Hill View Crest Oaks,mumbai,19600000.0,27374.301675977655,716.0,1
Mhatre and Goradia White Orchid Residency,mumbai,32100000.0,28257.042253521126,1136.0,2
Radius 10 BKC,mumbai,101700000.0,71019.5530726257,1432.0,4
Ten X Invictus by GS,mumbai,71800000.0,54977.029096477796,1306.0,3
L & T The Gateway,mumbai,57500000.0,39655.0,1258.0,3
Piramal Revanta,mumbai,23900000.0,27985.948477751757,854.0,1
Kalpataru Elitus,mumbai,33200000.0,31173.708920187793,1065.0,2
Paintora Shree Varadvinayak Tower,mumbai,22700000.0,36495.176848874595,622.0,1
Sunteck Sky Park,mumbai,18600000.0,17697.43101807802,1051.0,5
Apex Green Wood,mumbai,15300000.0,23611.11111111111,648.0,1
Gurukrupa Alaknanda,mumbai,80200000.0,54520.73419442556,1471.0,4
Raheja Modern Vivarea,mumbai,122900000.0,73681.0551558753,1668.0,3
Rustomjee Crown Phase II,mumbai,91900000.0,59334.0,1409.0,4
Starom Ekya,mumbai,44600000.0,31902.71816881259,1398.0,3
Chandak Greenairy,mumbai,40400000.0,35069.444444444445,1152.0,2
Sonam Indraneel,mumbai,14400000.0,17496.96233292831,823.0,1
Hill View Crest Oaks,mumbai,20700000.0,27201.051248357424,761.0,1
Prestige Forest Hills,mumbai,26900000.0,28435.517970401692,946.0,1
Hiranandani Maitri Park,mumbai,37500000.0,20833.0,1800.0,4
Supreme Boulevard,mumbai,40900000.0,34957.26495726496,1170.0,3
DLF The Westpark,mumbai,59100000.0,30204.0,1450.0,3
Ten X Invictus by GS,mumbai,71800000.0,54977.029096477796,1306.0,5
Seven Eleven Ayodhya,mumbai,11700000.0,13995.215311004784,836.0,1
Prestige Nautilus,mumbai,249800000.0,95745.49635875814,2609.0,4
Dhananjay Hill View,mumbai,5460000.0,8400.0,650.0,1
Sunbeam Heights,mumbai,19300000.0,29555.895865237366,653.0,1
N Rose Northern Hills,mumbai,19700000.0,28102.71041369472,701.0,1
Sunteck Sky Park,mumbai,13100000.0,17702.702702702703,740.0,1
Piramal Revanta,mumbai,40400000.0,28632.175761871014,1411.0,3
Godrej Trilogy Seafront,mumbai,176500000.0,100000.0,1765.0,2
Agarwal Floresta Maple,mumbai,18200000.0,24728.260869565216,736.0,1
Adani Linkbay Residences,mumbai,59400000.00000001,39027.59526938239,1522.0,3
Seven Eleven Ayodhya,mumbai,11700000.0,13995.215311004784,836.0,1
Dosti West County,thane,13899999.999999998,18361.955085865255,757.0,1
